SOURCE_FILE,FL_DATE,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_IATA,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_IATA,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,CRS_DEP_TIME,DEP_TIME,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS,DIV_REACHED_DEST,DIV1_AIRPORT,DIV1_WHEELS_ON,DIV1_WHEELS_OFF,DIV1_TAIL_NUM
202511.csv,11/26/2025 12:00:00 AM,AA,N101NN,166,14771,SFO,1477104,32457,12478,JFK,1247805,31703,1234,1223,10.00,1233,2036,14.00,2104,2050,0.00,,0.00,,,,,,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N101NN,179,12478,JFK,1247805,31703,14771,SFO,1477104,32457,0755,0748,21.00,0809,1054,8.00,1144,1102,0.00,,0.00,,,,,,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N102NN,1243,10721,BOS,1072103,30721,12892,LAX,1289209,32575,0815,0808,28.00,0836,1124,8.00,1152,1132,0.00,,0.00,,,,,,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N102NN,382,12892,LAX,1289209,32575,10721,BOS,1072103,30721,1255,1250,9.00,1259,2053,5.00,2118,2058,0.00,,0.00,,,,,,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N102UW,1721,13577,MYR,1357702,31135,11057,CLT,1105704,31057,0503,0450,16.00,0506,0549,6.00,0610,0555,0.00,,0.00,,,,,,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N102UW,1830,11057,CLT,1105704,31057,12451,JAX,1245103,31136,1328,1323,10.00,1333,1426,4.00,1451,1430,0.00,,0.00,,,,,,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N102UW,1830,12451,JAX,1245103,31136,11057,CLT,1105704,31057,1539,1606,10.00,1616,1714,14.00,1709,1728,0.00,,0.00,0.00,0.00,0.00,19.00,0.00,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N102UW,2054,11057,CLT,1105704,31057,14524,RIC,1452402,34524,1829,1833,30.00,1903,1946,7.00,1940,1953,0.00,,0.00,,,,,,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N102UW,2054,14524,RIC,1452402,34524,11057,CLT,1105704,31057,2030,2032,9.00,2041,2135,7.00,2155,2142,0.00,,0.00,,,,,,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N102UW,2622,10529,BDL,1052907,30529,11057,CLT,1105704,31057,1007,1005,10.00,1015,1201,17.00,1216,1218,0.00,,0.00,,,,,,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N102UW,2622,11057,CLT,1105704,31057,10529,BDL,1052907,30529,0726,0724,17.00,0741,0904,4.00,0922,0908,0.00,,0.00,,,,,,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N102UW,3244,11057,CLT,1105704,31057,13577,MYR,1357702,31135,2251,2252,19.00,2311,2345,6.00,2355,2351,0.00,,0.00,,,,,,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N103US,1747,11278,DCA,1127805,30852,10994,CHS,1099402,30994,2036,2126,14.00,2140,2257,7.00,2224,2304,0.00,,0.00,0.00,0.00,0.00,0.00,40.00,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N103US,3103,11278,DCA,1127805,30852,15304,TPA,1530402,33195,0845,0840,35.00,0915,1120,4.00,1117,1124,0.00,,0.00,,,,,,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N103US,3103,15304,TPA,1530402,33195,11278,DCA,1127805,30852,1202,1207,11.00,1218,1401,6.00,1416,1407,0.00,,0.00,,,,,,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N103US,3207,11278,DCA,1127805,30852,14027,PBI,1402702,34027,1506,1500,16.00,1516,1723,16.00,1752,1739,0.00,,0.00,,,,,,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N103US,3207,14027,PBI,1402702,34027,11278,DCA,1127805,30852,1837,1832,15.00,1847,2034,4.00,2059,2038,0.00,,0.00,,,,,,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N104NN,15,12478,JFK,1247805,31703,14771,SFO,1477104,32457,1700,1655,26.00,1721,2024,5.00,2045,2029,0.00,,0.00,,,,,,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N104NN,234,14771,SFO,1477104,32457,12478,JFK,1247805,31703,0720,0711,23.00,0734,1535,23.00,1555,1558,0.00,,0.00,,,,,,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N104NN,276,14771,SFO,1477104,32457,12478,JFK,1247805,31703,2245,2236,10.00,2246,0632,5.00,0711,0637,0.00,,0.00,,,,,,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N104UW,2073,14107,PHX,1410703,30466,14747,SEA,1474703,30559,1143,1138,23.00,1201,1341,9.00,1404,1350,0.00,,0.00,,,,,,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N104UW,2073,14747,SEA,1474703,30559,14107,PHX,1410703,30466,1455,1451,20.00,1511,1832,5.00,1847,1837,0.00,,0.00,,,,,,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N104UW,2127,14107,PHX,1410703,30466,13244,MEM,1324403,33244,1958,2005,18.00,2023,2351,6.00,2351,2357,0.00,,0.00,,,,,,0,,,,,
202511.csv,11/26/2025 12:00:00 AM,AA,N104UW,2812,14107,PHX,1410703,30466,15376,TUS,1537605,30436,0815,0811,15.00,0826,0849,4.00,0902,0853,0.00,,0.00,,,,,,0,,,,,
