AIRPORT_ID,IATA,ICAO,LONGITUDE,LATITUDE
10135,ABE,KABE,-75.44277778,40.65166667
10136,ABI,KABI,-99.68250000,32.40833333
10140,ABQ,KABQ,-106.61000000,35.03805556
10141,ABR,KABR,-98.42305556,45.44666667
10146,ABY,KABY,-84.19444444,31.53555556
10155,ACT,KACT,-97.22972222,31.60416667
10157,ACV,KACV,-124.10833333,40.97777778
10158,ACY,KACY,-74.57861111,39.45916667
10165,ADK,PADK,-176.64250000,51.88361111
10170,ADQ,PADQ,-152.49388889,57.74972222
10185,AEX,KAEX,-92.54694444,31.32333333
10208,AGS,KAGS,-81.96444444,33.37000000
10257,ALB,KALB,-73.80472222,42.74916667
10268,ALO,KALO,-92.40250000,42.56055556
10279,AMA,KAMA,-101.69916667,35.23166667
10299,ANC,PANC,-149.99805556,61.17416667
10333,APN,KAPN,-83.56027778,45.07805556
10372,ASE,KASE,-106.86833333,39.22194444
10397,ATL,KATL,-84.42805556,33.63666667
10408,ATW,KATW,-88.51916667,44.25805556
10409,ATY,KATY,-97.15472222,44.91388889
10423,AUS,KAUS,-97.67000000,30.19444444
10431,AVL,KAVL,-82.54194444,35.43611111
10434,AVP,KAVP,-75.72166667,41.34027778
10466,AZA,KIWA,-111.65527778,33.30777778
10469,AZO,KAZO,-85.55388889,42.23583333
10529,BDL,KBDL,-72.68444444,41.93916667
10551,BET,PABE,-161.83722222,60.77861111
10558,BFF,KBFF,-103.59555556,41.87416667
10561,BFL,KBFL,-119.05750000,35.43361111
10577,BGM,KBGM,-75.97972222,42.20833333
10581,BGR,KBGR,-68.82805556,44.80750000
10599,BHM,KBHM,-86.75222222,33.56388889
10620,BIL,KBIL,-108.54361111,45.80777778
10627,BIS,KBIS,-100.74138889,46.76861111
10631,BJI,KBJI,-94.93472222,47.51083333
10666,BLI,KBLI,-122.53750000,48.79277778
10676,BLV,KBLV,-89.83527778,38.54527778
10685,BMI,KBMI,-88.91027778,40.47777778
10693,BNA,KBNA,-86.67777778,36.12388889
10713,BOI,KBOI,-116.22277778,43.56444444
10721,BOS,KBOS,-71.00694444,42.36305556
10728,BPT,KBPT,-94.02416667,29.95333333
10732,BQN,TJBQ,-67.12944444,18.49472222
10739,BRD,KBRD,-94.13361111,46.40416667
10747,BRO,KBRO,-97.42916667,25.91083333
10754,BRW,PABR,-156.76861111,71.28472222
10779,BTM,KBTM,-112.49555556,45.95111111
10781,BTR,KBTR,-91.15000000,30.53305556
10785,BTV,KBTV,-73.15333333,44.47194444
